"","MeanDecreaseAccuracy","MeanDecreaseGini"
"roll_belt",53.3701251138998,722.942860382825
"pitch_belt",51.918996705858,402.249246476763
"yaw_belt",58.2779454236385,514.05166247661
"total_accel_belt",15.9876601965289,126.284359690949
"gyros_belt_x",26.0471553181822,57.126366548234
"gyros_belt_y",21.3699594831021,69.3174480104347
"gyros_belt_z",30.2484446967742,187.929576455746
"accel_belt_x",22.5570067884716,77.7232435179432
"accel_belt_y",17.2439063209949,76.75606815523
"accel_belt_z",26.857837192136,262.143937901306
"magnet_belt_x",34.7494592388109,148.477292372442
"magnet_belt_y",29.2913165527318,219.514517377317
"magnet_belt_z",30.8663509368137,241.244521217895
"roll_arm",36.971990147796,186.828095635613
"pitch_arm",22.2227896880965,107.838801850658
"yaw_arm",28.4503776134574,146.103302509544
"total_accel_arm",22.4048812291164,61.4451804001884
"gyros_arm_x",31.2068822668205,79.191107266491
"gyros_arm_y",37.8840353719944,85.0467752334958
"gyros_arm_z",22.9806078494473,37.8285094058748
"accel_arm_x",19.1836808543638,144.794139206047
"accel_arm_y",29.2854426466926,93.0583684441891
"accel_arm_z",22.1108828881701,84.1705212918639
"magnet_arm_x",19.077187924731,160.529924515195
"magnet_arm_y",17.8815141533453,132.176945432765
"magnet_arm_z",26.6782174209013,116.013749879871
"roll_dumbbell",30.8743944028437,247.098575431784
"pitch_dumbbell",16.9473400582224,114.46215072183
"yaw_dumbbell",26.4386702625418,152.070206795206
"total_accel_dumbbell",26.9186843322234,159.193526232101
"gyros_dumbbell_x",32.1084910808706,77.65244991671
"gyros_dumbbell_y",26.0336621353333,154.690829597525
"gyros_dumbbell_z",32.4206097775961,53.8865883124354
"accel_dumbbell_x",23.4275966014395,147.761906879477
"accel_dumbbell_y",35.4244031167491,245.800043191009
"accel_dumbbell_z",32.657378342365,198.296421053785
"magnet_dumbbell_x",28.7216196517703,293.609723387369
"magnet_dumbbell_y",39.5550806723451,409.748802562502
"magnet_dumbbell_z",51.3033010829672,453.925192427729
"roll_forearm",29.3314349267165,343.293308536239
"pitch_forearm",39.1185851522211,479.300265611459
"yaw_forearm",28.9509810625602,105.363815562452
"total_accel_forearm",22.659208903387,72.4316500416422
"gyros_forearm_x",28.2786672159072,47.0626028429424
"gyros_forearm_y",32.2601917809082,78.9350312958882
"gyros_forearm_z",29.7376118473904,53.9809212287126
"accel_forearm_x",26.6930510625149,194.653422887449
"accel_forearm_y",31.4518722830528,91.283608742156
"accel_forearm_z",28.2564048156941,146.404365100539
"magnet_forearm_x",20.4213595282672,139.786606265817
"magnet_forearm_y",26.8322085748073,137.412553836375
"magnet_forearm_z",33.7489662068297,171.106716608913
